gene_id	Bark1	Bark2	Bark3	Flower1	Flower2	Flower3	Fruit1	Fruit2	Fruit3	Leaf1	Leaf2	Leaf3	Root1	Root2	Root3	Wood1	Wood2	Wood3
Khe28069	354.39	365.8	359.4	278.56	287.22	287.78	143.19	149.4	143.82	237.12	243.72	253.39	34.43	26.78	25.72	191.86	186.44	193.81
Khe28196	9.34	8.42	9.52	14.92	15.08	14.7	11.42	11.98	12.39	18.04	17.77	17.78	14.77	12.68	13.57	14.54	15.82	15.3
Khe29219	6.94	7.72	7.12	27.82	28.65	28.53	10.01	9.97	10.46	62.52	60.43	62.18	11.1	2.44	2.93	7.07	7.72	7.54
Khe29347	0	0	0	0	0	0	0	0	0	0	0	0	1.63	3.26	3.58	0	0	0
Khe30066	0.43	0.23	0.43	0.26	0.25	0.18	0	0.06	0	0	0	0	0.43	9.17	7.41	0.09	0.18	0.16
Khe30249	4.98	4.3	4.92	11.67	11.25	12.01	47.33	48.3	50.07	0.05	0.12	0	28.79	55.34	54.27	2.05	1.82	2.34
Khe30300	0	0.13	0.13	0	0	0.18	0	0	0	0.13	0	0	0	0.05	0.22	0.13	0	0
Khe30609	400.88	390.44	406.48	625.24	615.21	614.13	545.91	553.56	561.73	58.49	55.01	56.68	97.68	104.31	102.84	474.41	488.81	476.8
Khe31209	6.95	6.4	6.78	0.32	0.32	0.4	1.97	1.32	1.38	100.05	96.22	101.34	129.9	90.07	87.51	0.09	0.16	0.22
Khe31256	1.58	1.32	1.99	8.27	8.15	8.87	14.66	13.73	15.49	0.24	0.1	0.2	0.05	0.03	0.08	0.08	0.08	0.05
Khe31313	7.34	7.36	7.54	77.49	72.53	75.74	12.46	11.94	13.04	2.08	1.47	1.61	5.63	18.65	18.75	6.79	6.54	6.7
Khe31575	0.11	0.11	0.04	0.02	0.03	0.04	0	0	0.02	0.26	0.35	0.67	0.4	0.15	0.03	0.21	0.06	0
Khe31596	0.55	0.65	0.39	15.54	16.05	16.4	19.95	19.92	20.98	6.24	7.12	6.46	99.19	105.22	103.38	3.59	3.39	3.33
Khe31743	24.17	23.29	24.15	2.43	2.8	2.97	5.2	5.2	6.03	5.25	5.87	5.27	36.98	27.34	29.46	2.57	2.89	3.11
Khe32077	0.34	0.38	0.2	0.04	0	0.02	0.04	0	0	0.1	0.08	0.04	0.05	0	0.04	0.64	0.51	0.45
Khe32159	0.62	0.72	0.91	2.25	2.31	2.03	2.29	2.28	2.09	145.71	146.15	150.15	2.76	1.94	2.4	0.23	0.19	0.1
Khe32681	1.77	1.97	1.84	0.37	0.27	0.27	0.05	0.04	0.12	0	0	0	1.4	1.68	1.57	2.07	2.08	2.5
Khe32911	5.2	5.64	6.46	21.64	21.74	22.15	25.47	25.16	26.04	65.93	65.28	66.1	6.99	14.68	14.61	4.12	3.66	2.94
Khe32913	5.47	5.3	4.31	6.09	6.78	6.83	5.63	5.6	5.86	12.05	11.62	11.44	6.34	3.33	3.55	3.3	3.27	2.92
Khe33020	26.47	27.05	26.96	2.18	2.2	2.19	4.01	3.72	4.2	48.04	50.55	48.87	22.12	10.09	10.69	7.59	7.16	7.3
Khe33022	0	0	0	0	0	0	0	0	0	0.31	0	0	0	0	0	0	0	0
Khe33025	5.26	5.35	4.36	3.04	3.19	2.86	1.91	1.93	2.32	158.72	155.72	162.26	0.09	0.15	0.24	1.78	1.46	1.36
Khe33028	5.79	5.54	6.27	48.22	50.81	52	18.15	18.3	17.25	47.82	49.18	52.12	0.06	0.03	0.04	0.61	0.8	0.78
Khe33135	3.68	3.47	3.4	2.33	2.54	2.8	2.56	2.9	3.33	27.21	23.39	24.37	0.03	1.16	1.25	1.01	1.16	1.3
Khe33138	0.29	0.46	0.25	6.3	6.15	6.59	4.79	4.72	4.84	23.42	21.71	24.25	0.26	0.31	0.19	0	0.05	0
Khe33564	0	0.03	0.01	0.06	0.05	0.03	10.96	12.56	11.38	0.32	0.25	0.16	0	0.03	0	0.03	0.06	0.1
Khe33566	0.02	0	0.04	0.06	0.13	0.04	3.16	3.62	2.93	0	0.02	0	0.11	1.15	0.97	0	0	0
Khe33586	1.84	2.21	1.96	0.5	0.5	0.22	0.52	0.7	0.59	0	0	0	0.4	0.31	0.25	0.65	0.6	0.58
Khe33589	3.82	3.58	4.3	4.23	3.28	3.25	8.45	8.57	7.67	1.5	1.07	1.14	17.76	25.44	22.95	0.34	0.55	0.43
Khe33591	4.81	4.55	4.99	3.38	3.81	3.86	9.66	9.29	9.53	0.62	0.47	0.35	22.54	23.45	21.73	1.04	1.01	1.2
Khe33592	2.16	1.92	2.08	2.79	2.84	2.19	3.97	5.27	3.82	0.56	0.59	0.64	10.83	13.5	14.06	0.55	0.44	0.45
